id,status,Name,E-mail,Date to return
1,Taken,Emily Gonzales,Emily.Gonzales@lehigh.edu,2023-02-23
2,Taken,Gregory Edwards,Gregory.Edwards@lehigh.edu,2023-02-17
3,Available,Not Applicable,Not Applicable,
4,Available,Not Applicable,Not Applicable,
5,Available,Not Applicable,Not Applicable,
6,Available,Not Applicable,Not Applicable,
7,Available,Not Applicable,Not Applicable,
8,Taken,Brandon Caldwell,Brandon.Caldwell@lehigh.edu,2023-02-13
9,Taken,Anthony Johnston,Anthony.Johnston@lehigh.edu,2023-02-05
10,Taken,William Guerra,William.Guerra@lehigh.edu,2023-02-01
11,Taken,Victoria Bass,Victoria.Bass@lehigh.edu,2023-02-14
12,Available,Not Applicable,Not Applicable,
13,Taken,Katherine Taylor,Katherine.Taylor@lehigh.edu,2023-02-15
14,Available,Not Applicable,Not Applicable,
15,Taken,Jeremy Lawrence,Jeremy.Lawrence@lehigh.edu,2023-02-27
16,Taken,Alexander Bender,Alexander.Bender@lehigh.edu,2023-02-19
17,Available,Not Applicable,Not Applicable,
18,Taken,Randy Harris,Randy.Harris@lehigh.edu,2023-01-29
19,Available,Not Applicable,Not Applicable,
20,Available,Not Applicable,Not Applicable,
21,Available,Not Applicable,Not Applicable,
22,Available,Not Applicable,Not Applicable,
23,Available,Not Applicable,Not Applicable,
24,Taken,Joshua Mayer,Joshua.Mayer@lehigh.edu,2023-02-27
25,Available,Not Applicable,Not Applicable,
26,Taken,William Thomas,William.Thomas@lehigh.edu,2023-01-30
27,Taken,Michael Chavez,Michael.Chavez@lehigh.edu,2023-02-14
28,Available,Not Applicable,Not Applicable,
29,Available,Not Applicable,Not Applicable,
30,Available,Not Applicable,Not Applicable,
31,Taken,Zachary Sanchez,Zachary.Sanchez@lehigh.edu,2023-01-31
32,Taken,Briana Miller,Briana.Miller@lehigh.edu,2023-02-16
33,Available,Not Applicable,Not Applicable,
34,Taken,Harold Kirby,Harold.Kirby@lehigh.edu,2023-02-11
35,Available,Not Applicable,Not Applicable,
36,Taken,Eric Ortiz,Eric.Ortiz@lehigh.edu,2023-02-17
37,Taken,Jeremy Pierce,Jeremy.Pierce@lehigh.edu,2023-02-05
38,Taken,Mary Baker,Mary.Baker@lehigh.edu,2023-02-26
39,Available,Not Applicable,Not Applicable,
40,Taken,Joseph Morris,Joseph.Morris@lehigh.edu,2023-02-25
41,Taken,Rachel Guzman,Rachel.Guzman@lehigh.edu,2023-02-12
42,Taken,Michelle Nelson,Michelle.Nelson@lehigh.edu,2023-01-27
43,Available,Not Applicable,Not Applicable,
44,Taken,Arthur Williams,Arthur.Williams@lehigh.edu,2023-02-23
45,Available,Not Applicable,Not Applicable,
46,Available,Not Applicable,Not Applicable,
47,Available,Not Applicable,Not Applicable,
48,Available,Not Applicable,Not Applicable,
49,Taken,Lisa Rojas,Lisa.Rojas@lehigh.edu,2023-02-13
50,Taken,Diamond Fritz,Diamond.Fritz@lehigh.edu,2023-02-22
51,Taken,Wendy Barber,Wendy.Barber@lehigh.edu,2023-02-07
52,Available,Not Applicable,Not Applicable,
53,Taken,Lindsay Gonzalez,Lindsay.Gonzalez@lehigh.edu,2023-02-18
54,Available,Not Applicable,Not Applicable,
55,Available,Not Applicable,Not Applicable,
56,Taken,James Rodriguez,James.Rodriguez@lehigh.edu,2023-02-04
57,Available,Not Applicable,Not Applicable,
58,Available,Not Applicable,Not Applicable,
59,Taken,Kathleen Martinez,Kathleen.Martinez@lehigh.edu,2023-02-07
60,Taken,Andrew Gallagher,Andrew.Gallagher@lehigh.edu,2023-02-15
61,Available,Not Applicable,Not Applicable,
62,Taken,Lindsey Vargas,Lindsey.Vargas@lehigh.edu,2023-01-30
63,Taken,Aaron Rose,Aaron.Rose@lehigh.edu,2023-01-31
64,Taken,Mark Foster,Mark.Foster@lehigh.edu,2023-02-18
65,Taken,Terry Johnson,Terry.Johnson@lehigh.edu,2023-02-20
66,Available,Not Applicable,Not Applicable,
